iter	Passed	Remaining
0	150	149907
1	151	75782
2	153	51085
3	155	38698
4	156	31241
5	158	26243
6	159	22689
7	161	20005
8	162	17926
9	164	16245
10	165	14894
11	167	13762
12	168	12796
13	169	11969
14	171	11246
15	172	10621
16	173	10059
17	175	9558
18	176	9112
19	177	8702
20	179	8358
21	180	8029
22	182	7732
23	183	7460
24	184	7208
25	186	6978
26	187	6762
27	188	6555
28	190	6367
29	191	6191
30	192	6027
31	194	5875
32	195	5721
33	196	5577
34	197	5446
35	198	5324
36	200	5209
37	201	5108
38	203	5006
39	204	4900
40	205	4806
41	206	4713
42	208	4632
43	209	4557
44	211	4481
45	212	4407
46	213	4329
47	214	4263
48	216	4198
49	217	4124
50	217	4056
51	219	4001
52	220	3938
53	221	3880
54	222	3828
55	223	3772
56	224	3721
57	225	3666
58	226	3613
59	227	3569
60	229	3527
61	230	3494
62	232	3463
63	234	3427
64	236	3395
65	236	3353
66	237	3313
67	238	3270
68	240	3238
69	241	3213
70	243	3183
71	244	3152
72	245	3120
73	246	3090
74	248	3060
75	249	3037
76	251	3011
77	252	2986
78	253	2960
79	255	2934
80	256	2909
81	257	2882
82	258	2855
83	259	2828
84	259	2798
85	260	2772
86	261	2743
87	262	2719
88	263	2695
89	264	2672
90	265	2650
91	266	2628
92	267	2606
93	268	2584
94	269	2562
95	269	2541
96	270	2520
97	271	2499
98	272	2479
99	273	2459
100	274	2439
101	274	2417
102	275	2398
103	276	2380
104	277	2362
105	278	2345
106	278	2327
107	279	2308
108	280	2292
109	281	2275
110	282	2259
111	283	2244
112	283	2228
113	284	2212
114	285	2196
115	286	2180
116	286	2164
117	287	2149
118	288	2133
119	288	2118
120	289	2103
121	290	2089
122	290	2072
123	291	2057
124	291	2042
125	292	2029
126	293	2015
127	293	2000
128	294	1987
129	294	1973
130	295	1960
131	296	1947
132	296	1933
133	297	1920
134	297	1908
135	298	1895
136	299	1883
137	299	1870
138	300	1858
139	300	1847
140	301	1835
141	301	1824
142	302	1812
143	303	1801
144	303	1790
145	304	1779
146	304	1769
147	305	1758
148	306	1747
149	306	1738
150	307	1728
151	307	1718
152	308	1708
153	309	1698
154	309	1688
155	310	1679
156	310	1669
157	311	1659
158	312	1650
159	312	1641
160	313	1632
161	313	1623
162	314	1614
163	314	1605
164	315	1597
165	316	1588
166	316	1580
167	317	1571
168	317	1563
169	318	1555
170	319	1547
171	319	1539
172	320	1532
173	321	1524
174	321	1517
175	322	1509
176	323	1502
177	323	1494
178	324	1487
179	325	1480
180	325	1472
181	325	1465
182	326	1457
183	327	1450
184	327	1443
185	328	1436
186	328	1430
187	329	1423
188	330	1416
189	330	1409
190	331	1403
191	331	1396
192	332	1390
193	333	1383
194	333	1377
195	334	1371
196	334	1365
197	335	1359
198	336	1353
199	336	1347
200	337	1341
201	337	1335
202	338	1329
203	339	1323
204	339	1317
205	340	1311
206	340	1306
207	341	1300
208	342	1294
209	342	1289
210	343	1283
211	343	1278
212	344	1272
213	345	1267
214	345	1261
215	346	1256
216	346	1251
217	347	1246
218	348	1241
219	348	1235
220	349	1231
221	349	1226
222	350	1221
223	351	1216
224	351	1211
225	352	1206
226	352	1201
227	353	1196
228	353	1191
229	354	1186
230	355	1182
231	355	1177
232	356	1172
233	356	1168
234	357	1163
235	358	1159
236	358	1154
237	359	1150
238	359	1145
239	360	1141
240	361	1137
241	361	1132
242	362	1128
243	362	1124
244	363	1120
245	364	1116
246	365	1113
247	365	1109
248	366	1105
249	367	1101
250	367	1097
251	368	1093
252	368	1089
253	369	1084
254	369	1080
255	370	1076
256	371	1073
257	371	1069
258	372	1065
259	372	1061
260	373	1057
261	374	1053
262	374	1050
263	375	1046
264	375	1042
265	376	1038
266	377	1035
267	377	1031
268	378	1028
269	379	1025
270	380	1022
271	380	1019
272	381	1016
273	382	1012
274	383	1009
275	383	1007
276	384	1004
277	385	1000
278	385	997
279	386	994
280	387	991
281	387	987
282	388	984
283	389	980
284	389	977
285	390	974
286	390	970
287	391	967
288	392	964
289	392	961
290	393	958
291	393	955
292	394	952
293	395	949
294	395	945
295	396	942
296	397	939
297	397	936
298	398	933
299	398	930
300	399	927
301	399	924
302	400	921
303	400	918
304	401	915
305	402	912
306	402	909
307	403	906
308	403	903
309	404	900
310	404	897
311	405	894
312	406	891
313	406	888
314	407	885
315	408	883
316	408	880
317	409	877
318	409	875
319	410	872
320	411	869
321	411	866
322	412	864
323	412	861
324	413	858
325	414	856
326	414	853
327	415	850
328	415	848
329	416	845
330	417	843
331	417	840
332	418	837
333	418	835
334	419	832
335	419	829
336	420	827
337	421	824
338	421	822
339	422	820
340	423	817
341	423	815
342	424	812
343	424	810
344	425	807
345	426	805
346	426	802
347	427	800
348	427	797
349	428	795
350	428	793
351	429	790
352	430	788
353	430	786
354	431	783
355	431	781
356	432	779
357	433	776
358	433	774
359	434	772
360	434	769
361	435	767
362	435	765
363	436	762
364	437	760
365	437	758
366	438	756
367	439	754
368	439	751
369	440	749
370	440	747
371	441	745
372	442	743
373	442	741
374	443	739
375	444	737
376	444	734
377	445	732
378	445	730
379	446	728
380	447	726
381	447	724
382	448	721
383	448	719
384	449	717
385	450	715
386	450	713
387	451	711
388	452	710
389	452	708
390	453	706
391	454	704
392	454	702
393	455	700
394	456	698
395	456	696
396	457	694
397	457	692
398	458	690
399	458	688
400	459	686
401	460	684
402	460	682
403	461	680
404	462	678
405	462	676
406	463	674
407	463	672
408	464	670
409	464	669
410	465	667
411	466	665
412	466	663
413	467	661
414	468	659
415	468	657
416	469	656
417	469	654
418	470	652
419	471	650
420	471	648
421	472	646
422	472	645
423	473	643
424	474	641
425	474	639
426	475	637
427	475	635
428	476	634
429	476	632
430	477	630
431	478	628
432	478	626
433	479	625
434	479	623
435	480	621
436	481	619
437	481	618
438	482	616
439	482	614
440	483	612
441	484	611
442	484	609
443	485	607
444	485	606
445	486	604
446	487	602
447	487	600
448	488	599
449	489	597
450	489	596
451	490	594
452	490	592
453	491	590
454	491	589
455	492	587
456	493	585
457	493	584
458	494	582
